title,user_id,tags,genres,recommend
Cthulhu Saves the World,Hawkez,"['RPG', 'Indie', 'Comedy', 'Lovecraftian', 'Retro', 'JRPG', 'Turn-Based', 'Fantasy', 'Funny', 'Singleplayer', 'Adventure', 'Pixel Graphics', 'Parody', '2D', 'Great Soundtrack', 'RPGMaker', 'Action', 'Memes']",Indie,True
Arma 3,CatsWhale,"['Simulation', 'Military', 'Multiplayer', 'Realistic', 'Open World', 'Tactical', 'Action', 'FPS', 'War', 'Strategy', 'Sandbox', 'Shooter', 'Co-op', 'Moddable', 'Team-Based', 'Online Co-Op', 'Third-Person Shooter', 'Singleplayer', 'First-Person', 'TrackIR']",Action,True
Rochard,DM420,"['Platformer', 'Indie', 'Action', 'Puzzle', 'Physics', 'Sci-fi', 'Casual', 'Singleplayer', 'Puzzle-Platformer', '2D', 'Side Scroller', 'Great Soundtrack', 'Adventure', '2.5D', 'Space']",Action,True
Ticket to Ride,76561198072103064,"['Board Game', 'Strategy', 'Casual', 'Multiplayer', 'Turn-Based', 'Trains', 'Family Friendly', 'Indie', 'Singleplayer', 'Touch-Friendly']",Casual,True
Vessel,djnemonic,"['Puzzle', 'Indie', 'Platformer', 'Steampunk', 'Action', 'Physics', 'Strategy', 'Singleplayer', 'Puzzle-Platformer', 'Adventure', '2D', 'Sci-fi', 'Great Soundtrack']",Action,True
Project Zomboid,NaruseAiria,"['Early Access', 'Survival', 'Zombies', 'Open World', 'Sandbox', 'Indie', 'Multiplayer', 'Simulation', 'RPG', 'Post-apocalyptic', 'Crafting', 'Co-op', 'Building', 'Survival Horror', 'Isometric', 'Singleplayer', '2D', 'Realistic', 'Adventure', 'Real-Time with Pause']",Indie,True
Alan Wake,doctr,"['Action', 'Horror', 'Adventure', 'Third Person', 'Story Rich', 'Atmospheric', 'Singleplayer', 'Psychological Horror', 'Thriller', 'Great Soundtrack', 'Episodic', 'Mystery', 'Third-Person Shooter', 'Dark', 'Cinematic', 'Supernatural', 'Narration', 'Survival Horror', 'Shooter', 'Survival']",Action,True
Crysis 2 - Maximum Edition,76561198027620293,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Stealth', 'Multiplayer', 'Singleplayer', 'First-Person', 'Aliens', 'Futuristic', 'Benchmark', 'Great Soundtrack', 'Adventure', 'Atmospheric', 'Story Rich', 'Cyberpunk', '3D Vision', 'Open World', 'Survival', 'RPG']",Action,True
Neverwinter,camduman,"['Free to Play', 'MMORPG', 'RPG', 'Massively Multiplayer', 'Adventure', 'Action', 'Fantasy', 'Multiplayer', 'Open World', 'Character Customization', 'Co-op', 'PvP', 'Dragons', 'Third Person', 'Action RPG', 'PvE', 'Atmospheric', 'Hack and Slash', 'Zombies', 'Comedy']",Action,True
TrackMania Nations Forever,KoiyyBoi,"['Racing', 'Free to Play', 'Multiplayer', 'Singleplayer', 'Level Editor', 'Arcade', 'Simulation', 'Massively Multiplayer', 'Competitive', 'Action', 'Controller', 'Difficult', 'Adventure', 'Sandbox', 'Sports', 'First-Person', 'Co-op', 'Casual', 'Open World', 'Indie']",Racing,True
inMomentum,kcharding,"['Racing', 'Indie', 'Parkour', 'Fast-Paced', 'First-Person', 'Multiplayer', 'Platformer']",Indie,True
L.A. Noire,moomooandu,"['Detective', 'Crime', 'Open World', 'Noir', 'Adventure', 'Story Rich', 'Third Person', 'Mystery', 'Action', 'Cinematic', 'Singleplayer', 'Atmospheric', 'Investigation', 'Mature', 'Nudity', 'Strategy', 'Puzzle', 'Third-Person Shooter', '3D Vision', 'RPG']",Adventure,True
Snuggle Truck,Sansthespoopyskeleton,"['Casual', 'Racing', 'Indie', 'Driving', 'Singleplayer', 'Level Editor']",Casual,True
Sherlock Holmes: The Mystery of the Mummy,something_random,"['Adventure', 'Point & Click', 'Detective', 'Mystery', 'First-Person']",Adventure,False
Sherlock Holmes: The Awakened - Remastered Edition,something_random,"['Adventure', 'Lovecraftian', 'Point & Click', 'Detective', 'Mystery', 'First-Person', 'Horror']",Adventure,True
Bunch of Heroes,76561198071102818,"['Action', 'Indie', 'Co-op', 'Shooter', 'Multiplayer']",Action,True
Serious Sam Double D XXL,Playerupjack,"['Action', 'Indie', 'Platformer', 'Comedy', 'Shooter', '2D', 'Local Co-Op', 'Gore']",Action,True
Blocks That Matter,Whoppaz,"['Indie', 'Puzzle', 'Platformer', 'Casual', '2D', 'Puzzle-Platformer', 'Singleplayer', 'Robots']",Casual,True
Guardians of Middle-earth,bonsta13,"['MOBA', 'Strategy', 'Action', 'Co-op', 'Multiplayer', 'Fantasy']",Action,True
Gumboy Tournament,Howaboutsomegoodoldsuicide,"['Indie', 'Casual', 'Racing', 'Multiplayer', 'Platformer']",Casual,True
Space Trader: Merchant Marine,benjisponge,"['Action', 'FPS', 'Space', 'Indie', 'Trading', 'Strategy', 'Sci-fi', 'First-Person', 'Shooter', 'Casual']",Action,False
Pacific Storm Allies,76561198028640914,"['Simulation', 'Strategy', 'World War II', 'Naval']",Simulation,False
Penguins Arena: Sedna's World,highpr,"['Action', 'Casual', 'Indie', 'Multiplayer', 'FPS', 'Great Soundtrack', 'Shooter', 'Family Friendly', 'First-Person', 'Memes']",Action,True
Monaco: What's Yours Is Mine,76561198054465623,"['Co-op', 'Stealth', 'Indie', 'Heist', 'Local Co-Op', 'Strategy', 'Online Co-Op', 'Top-Down', 'Action', 'Multiplayer', 'Crime', 'Casual', 'Great Soundtrack', 'Adventure', 'Controller', 'Local Multiplayer', 'Pixel Graphics', '2D', 'Loot', 'Singleplayer']",Action,True
The Binding of Isaac,OfficialShroomsy,"['Rogue-like', 'Indie', 'Replay Value', 'Difficult', 'Procedural Generation', 'Action', 'Dark', 'Top-Down', 'Great Soundtrack', 'Adventure', 'Singleplayer', 'Rogue-lite', 'RPG', 'Survival', '2D', 'Perma Death', 'Dungeon Crawler', 'Bullet Hell', 'Atmospheric', 'Arena Shooter']",Action,True
Obulis,totallynotsianide,"['Puzzle', 'Casual', 'Indie', 'Physics', 'Singleplayer', 'Strategy', 'Atmospheric', 'Great Soundtrack']",Casual,True
Larva Mortus,Stormcaller,"['Action', 'Indie', 'Top-Down', 'Horror', 'Shooter', 'RPG', 'Zombies', 'Arcade', 'Top-Down Shooter', 'Singleplayer', '2D', 'Casual', 'Atmospheric', 'Retro', 'Adventure']",Action,True
APB Reloaded,possessioniskey,"['Free to Play', 'Open World', 'Action', 'Character Customization', 'Multiplayer', 'Massively Multiplayer', 'Third-Person Shooter', 'Shooter', 'PvP', 'Crime', 'Third Person', 'Co-op', 'Racing', 'Sandbox', 'FPS', 'Adventure', 'Hacking', 'Singleplayer', 'Nudity', 'Anime']",Action,True
Fallen Earth Free2Play,Xx-Woods,"['Free to Play', 'Survival', 'Multiplayer', 'Open World', 'Post-apocalyptic', 'Zombies', 'Massively Multiplayer', 'Crafting', 'RPG', 'Shooter', 'Adventure', 'FPS', 'Sandbox', 'Co-op', 'First-Person', 'Action', 'Singleplayer', 'MMORPG', 'Third-Person Shooter', 'Action RPG']",Free to Play,True
Chains,BigBlack-Chicken,"['Indie', 'Puzzle', 'Physics', 'Casual', 'Singleplayer', '2D', 'Great Soundtrack', 'Retro', 'Atmospheric']",Indie,True
Crash Time 2,AwesomenessD,"['Racing', 'Action', 'Open World', 'Singleplayer', 'Driving', 'Local Multiplayer', 'Simulation', 'Split Screen', 'Adventure']",Action,False
Overlord™,76561198028728868,"['RPG', 'Villain Protagonist', 'Third Person', 'Action', 'Comedy', 'Fantasy', 'Adventure', 'Funny', 'Singleplayer', 'Dark Humor', 'Action-Adventure', 'Strategy', 'Action RPG', 'Atmospheric', 'Puzzle', 'RTS', 'Open World', 'Hack and Slash', 'Multiplayer', 'Story Rich']",RPG,True
Costume Quest,76561198057950387,"['RPG', 'Adventure', 'Comedy', 'Casual', 'Singleplayer', 'Family Friendly', 'Turn-Based', 'Cute', 'Indie', 'Short', 'Female Protagonist', 'Turn-Based Strategy', 'Funny', 'Puzzle', 'Turn-Based Combat', 'Controller', 'JRPG', 'Fantasy', 'Quick-Time Events']",Adventure,True
Stacking,MySmilie,"['Adventure', 'Puzzle', 'Indie', 'Comedy', 'Third Person', 'Singleplayer', 'Short', 'Exploration', 'Funny', 'Family Friendly', 'Casual', 'Atmospheric', 'Cute', 'Steampunk']",Adventure,True
Prototype 2,Jc63921,"['Action', 'Open World', 'Gore', 'Adventure', 'Third Person', 'Violent', 'Singleplayer', 'Superhero', 'Parkour', 'Zombies', 'Hack and Slash', 'Sandbox', 'Sci-fi', 'Story Rich', 'RPG', 'Multiplayer', 'Stealth', 'Atmospheric', 'Horror', 'Co-op']",Action,False
Hospital Tycoon,MuellerJ7,"['Simulation', 'Management', 'Singleplayer']",Simulation,True
Dragon Nest,ndrss,"['Free to Play', 'Action', 'RPG', 'Anime', 'Massively Multiplayer', 'MMORPG', 'Fantasy', 'Hack and Slash', 'Adventure', 'Dragons', 'Multiplayer', 'Dungeon Crawler']",Action,True
Red Orchestra: Ostfront 41-45,Imnotfromaustraliakids,"['Action', 'World War II', 'FPS', 'Realistic', 'Multiplayer', 'Shooter', 'Tactical', 'Singleplayer', 'Military', 'Simulation', 'Historical', 'War', 'Team-Based', 'Classic', 'Strategy', 'Atmospheric']",Action,True
Grand Theft Auto III,diego9031,"['Open World', 'Action', 'Classic', 'Third Person', 'Singleplayer', 'Sandbox', 'Crime', 'Driving', 'Shooter', 'Adventure', 'Third-Person Shooter', 'Atmospheric', 'Great Soundtrack', 'Violent', 'Silent Protagonist', 'Mature', 'Story Rich', 'Multiplayer', 'Moddable', 'Satire']",Action,True
Grand Theft Auto: Vice City,Cosmonaut123456789,"['Open World', 'Action', '1980s', 'Classic', 'Great Soundtrack', 'Third Person', 'Singleplayer', 'Crime', 'Sandbox', 'Atmospheric', 'Driving', 'Adventure', 'Third-Person Shooter', 'Shooter', 'Violent', 'Music', 'Mature', 'Multiplayer', 'Funny', 'Moddable']",Action,True
Grand Theft Auto: San Andreas,maxpaynepillkiller,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Third Person', 'Classic', 'Singleplayer', 'Shooter', 'Driving', 'Sandbox', 'Adventure', 'Story Rich', 'Third-Person Shooter', 'Great Soundtrack', 'Mature', 'Atmospheric', 'Moddable', 'Funny', 'Comedy', 'RPG']",Action,True
Manhunt,candel,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",Action,True
Max Payne,banksyyo,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",Action,True
Max Payne 2: The Fall of Max Payne,d003,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",Action,False
Midnight Club 2,76561198071475367,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",Racing,True
Bully: Scholarship Edition,17101710,"['Open World', 'Action', 'Adventure', 'Third Person', 'Comedy', 'Singleplayer', 'Great Soundtrack', 'Funny', 'Classic', 'Sandbox', 'Dark Humor', 'Satire', 'Story Rich', 'Atmospheric', 'Exploration', 'Simulation', 'Controller', 'Mature', 'Multiplayer', 'First-Person']",Action,True
Grand Theft Auto: Episodes from Liberty City,76561198001688490,"['Open World', 'Action', 'Third Person', 'Multiplayer', 'Adventure', 'Shooter', 'Crime', 'Sandbox', 'Singleplayer', 'Driving', 'Third-Person Shooter', 'Great Soundtrack', 'Mature', 'Nudity', 'Racing', 'Moddable', 'Story Rich', 'Comedy', 'Atmospheric', 'Funny']",Action,True
Darkstar One,hellfireholle,"['Action', 'Space', 'Sci-fi', 'Space Sim', 'Simulation', 'RPG', 'Open World', 'Exploration']",Action,True
Jack Keane,driftertiger51,"['Adventure', 'Point & Click', 'Comedy']",Adventure,True
FlatOut: Ultimate Carnage,76561198061097219,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",Racing,True
SlamIt Pinball Big Score,brat81,"['Casual', 'Pinball']",Casual,True
Port Royale 2,76561198026256686,"['Strategy', 'Trading', 'Pirates', 'Economy', 'Historical', 'Naval']",Strategy,False
9th Company: Roots Of Terror,theokman,"['Strategy', 'RTS', 'Military', 'Cold War', 'War']",Strategy,False
Killing Floor,76561197970982479,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Action,True
PuzzleQuest: Challenge of the Warlords,Teknoe,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",Casual,True
Prison Tycoon 3™: Lockdown,76561198040864814,"['Strategy', 'Simulation']",Strategy,False
Sprint Cars Road to Knoxville,76561198108045528,['Racing'],Racing,True
Darkest Hour: Europe '44-'45,MrProvidings,"['World War II', 'FPS', 'Action', 'Shooter', 'Simulation', 'Tactical', 'Multiplayer', 'Realistic', 'War', 'Mod', 'Free to Play', 'Historical']",Action,True
Overlord II,sergei_from_kazakhstan,"['RPG', 'Fantasy', 'Villain Protagonist', 'Singleplayer', 'Funny', 'Action', 'Comedy', 'Third Person', 'Magic', 'Action RPG', 'Strategy', 'Adventure', 'Dark Humor', 'Action-Adventure', 'Open World', 'Puzzle', 'Dark Fantasy', 'Atmospheric', 'Multiplayer', 'RTS']",RPG,True
Operation Flashpoint: Dragon Rising,THEGHOST646,"['Action', 'FPS', 'Tactical', 'Military', 'Open World', 'Multiplayer', 'Simulation', 'First-Person', 'Co-op', 'Singleplayer', 'Shooter', 'Realistic', 'Strategy', 'War', 'Walking Simulator', 'Adventure', 'Stealth']",Action,True
AudioSurf,pikawuu2,"['Music', 'Rhythm', 'Indie', 'Casual', 'Music-Based Procedural Generation', 'Colorful', 'Arcade', 'Singleplayer', 'Relaxing', 'Score Attack', 'Local Co-Op', 'Procedural Generation', 'Puzzle', 'Replay Value', 'Great Soundtrack', 'Local Multiplayer', 'Fast-Paced', 'Racing', 'Co-op', 'Action']",Indie,True
Half-Life: Blue Shift,halofreak61,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Classic', 'Adventure', 'Zombies', 'Short', ""1990's"", 'Atmospheric', 'Story Rich', 'Silent Protagonist', 'Puzzle']",Action,True
Unreal Tournament 3 Black,Bluegills,"['FPS', 'Action', 'Multiplayer', 'Arena Shooter', 'Shooter', 'Sci-fi', 'Fast-Paced', 'First-Person', 'Competitive', 'Gore', 'Co-op', 'Great Soundtrack', 'Classic', 'Singleplayer', 'Team-Based', 'Adventure', 'Atmospheric', 'Moddable', 'Split Screen', 'Futuristic']",Action,True
Unreal Tournament 2004: Editor's Choice Edition,drkritisch,"['FPS', 'Arena Shooter', 'Action', 'Classic', 'Multiplayer', 'Fast-Paced', 'Sci-fi', 'Competitive', 'Moddable', 'Great Soundtrack', 'First-Person', 'Shooter', 'Singleplayer', 'e-sports', 'Atmospheric', 'Co-op', 'Adventure', 'RPG']",Action,True
Unreal Gold,idsoftwaresquake,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",Action,True
Prince of Persia: Warrior Within™,76561198054745824,"['Action', 'Adventure', 'Parkour', 'Third Person', 'Great Soundtrack', 'Singleplayer', 'Platformer', 'Atmospheric', 'Time Travel', 'Classic', 'Hack and Slash', 'Time Manipulation', 'Gore', 'Fantasy', 'Story Rich', 'Open World', 'Dark']",Action,True
Far Cry®,tsunamitad,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",Action,True
Tom Clancy's Rainbow Six® Vegas,dogapp,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",Action,False
Tom Clancy's Splinter Cell®,76561198030797558,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",Action,False
Tom Clancy's Splinter Cell Chaos Theory®,pon2543007,"['Stealth', 'Action', 'Third Person', 'Co-op', 'Classic', 'Great Soundtrack', 'Atmospheric', 'Singleplayer', 'Multiplayer', 'Tactical', 'Shooter', 'Story Rich', 'Third-Person Shooter', 'Adventure']",Action,True
Prince of Persia®: The Sands of Time,76561198006560154,"['Action', 'Adventure', 'Parkour', 'Platformer', 'Third Person', 'Classic', 'Singleplayer', 'Puzzle-Platformer', 'Story Rich', 'Time Manipulation', 'Great Soundtrack', 'Time Travel', 'Fantasy', 'Hack and Slash', 'Atmospheric']",Action,True
Tom Clancy's Rainbow Six Lockdown™,DiamondSwordBeGod,"['Action', 'FPS', 'Tactical', 'Shooter', 'Multiplayer']",Action,False
Uplink,cyroth,"['Hacking', 'Indie', 'Strategy', 'Singleplayer', 'Cyberpunk', 'Great Soundtrack', 'Classic', 'Simulation', 'Sci-fi', '2D', 'Real-Time with Pause', 'Experimental', 'Story Rich', 'Atmospheric', 'Perma Death']",Indie,True
Assassin's Creed™: Director's Cut Edition,Droleee,"['Action', 'Adventure', 'Parkour', 'Stealth', 'Open World', 'Third Person', 'Historical', 'Medieval', 'Singleplayer', 'Assassin', 'Conspiracy', 'Atmospheric', 'Action-Adventure', 'Story Rich', 'Great Soundtrack', 'Sandbox', 'Controller', 'Sci-fi', 'Classic', 'RPG']",Action,True
Tom Clancy's Rainbow Six® Vegas 2,76561198058251735,"['Action', 'Tactical', 'FPS', 'Co-op', 'Online Co-Op', 'Multiplayer', 'Singleplayer', 'Shooter', 'First-Person', 'Character Customization', 'Team-Based', 'Strategy', 'Stealth', 'Third Person', 'Classic', 'Difficult', 'Adventure', 'Third-Person Shooter', 'Atmospheric']",Action,True
Beyond Good and Evil™,imsodonionringsrightnow,"['Adventure', 'Female Protagonist', 'Action', 'Third Person', 'Cult Classic', 'Stealth', 'Classic', 'Singleplayer', 'Sci-fi', 'Action-Adventure', 'Great Soundtrack', 'Story Rich', 'Open World', 'Platformer', 'Dystopian', 'Exploration', 'Atmospheric']",Action,True
Heroes of Might &amp; Magic V,76561198038258914,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Tactical', 'Turn-Based', 'RPG', 'Multiplayer', 'Classic', 'Story Rich', 'Singleplayer']",Strategy,True
DEFCON,archsniper9,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",Indie,True
